freeReturnShipping,gender,isDisplayble,sku_available,sku_colorCodeDesc,sku_colorCodeValue,sku_colorGroup,sku_colorGroup_fr,sku_defaultFabric,sku_fabric,sku_inseam,sku_isNew,sku_onSale,sku_orderInAvailabilityMap,list_price,sale_price,sku_size,sku_skuImages,sku_styleImageCount,sku_styleNumber,sku_styleOrder,sku_id,sku_isEarlyAccess_b,sku_earlyAccess_start_dt,sku_earlyAccess_end_dt,sku_earlyAccess_policy_ss,bazaarVoiceId,collections,last_SKU_addition_dateTime,parentCategory_displayName,parentCategory_keywords,product_activity,product_activityId_repositoryId,product_ambassadors,product_applicableSystems,product_categoryHierarchy,product_coverage,product_creationDate,product_customAttribute1,product_customAttribute2,product_customAttribute3,product_customAttribute4,product_customAttribute5,product_dateAvailable,product_daysAvailable,product_defaultParentCategory,product_defaultSku,product_description,product_designFeature,product_displayName,product_elements,product_events,product_f5BckImgUrl,product_f5ContentAlignmentPDP,product_feel,product_fit,product_function,product_hasOutfitProduct,product_imageScheme,product_limitedEdition,product_longDescription,product_markDown,product_noFollow,product_noIndex,product_onSale,product_outfitProduct,product_parentCategory_unifiedId,product_pdpURL,product_reversible,product_silver,product_siteMapPdpURL,product_skuAlertsMap,product_specialEdition,product_support,product_title,product_unifiedId,product_videos_description,product_videos_url,product_whatsNew,product_id,product_onlineOnly,product_inseam,product_gender,product_categoryFacet,product_bagSize_s,product_outerwearWeight_s,product_topsLength_s,product_isEarlyAccess_b,inseam_group_s,sku_sizeType_ss,product_shoeHeight_s,product_rise_s,product_displayName_fr_s,parentCategory_displayName_fr_s,product_defaultParentCategory_fr_s,product_categoryHierarchy_fr_ss,product_categoryFacet_fr_ss,currencyCode,locale
False,men,True,False,Nomad,35955,brown|https://images.lululemon.com/is/image/lululemon/brown_swatch?$swatch$::::neutral|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,Brun|https://images.lululemon.com/is/image/lululemon/brown_swatch?$swatch$::::neutre|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,,,noInseam,False,False,34,128.0,,28,https://images.lululemon.com/is/image/lululemon/LM5B08S_035955_1::::https://images.lululemon.com/is/image/lululemon/LM5B08S_035955_2,5.0,LM5B08S-035955,4.0,us_151505863,False,,,,ABC_Classic_Fit_Trouser_32L_Twill,ABC,2024-03-04 15:49:11.341,Trousers,,On the Move::::travel::::golf::::work::::casual,m_tofrom::::m_travel::::m_golf::::m_work::::m_casual,,All,men^usmen|Pants^usmwearit3|Trousers^usmtrousers::::Bestsellers^cat2530002,,2024-01-11 01:32:05.625,,,,Chinos::::Dress Pants,Spring::::Fall::::Winter,2024-01-11 01:32:05.625,110,Trousers,us_151505710,,,"ABC Classic-Fit Trouser 32""L *Smooth Twill",,,,right,Smooth Twill::::Twill,Classic Fit,ABC Technology::::Pocketed::::Reflective,False,Old,False,,0.0,False,False,0,,mens-trousers,/p/mens-trousers/ABC-Classic-Fit-Trouser-32L-Twill/_/prod11680054,False,False,//shop.lululemon.com/p/mens-trousers/ABC-Classic-Fit-Trouser-32L-Twill/_/prod11680054,,False,,"ABC Classic-Fit Trouser 32""L *Smooth Twill | Men's Trousers",ABC-Classic-Fit-Trouser-32L-Twill,,,False,prod11680054,False,"32""",Men,men::::Trousers::::Pants::::Bestsellers,,,,False,4000147.0,,,,,,,,,USD,en_US
False,women,True,False,Black,1,black|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutral|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,noir|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutre|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,,,noInseam,False,False,16,68.0,,38 DD,https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_1::::https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_2,4.0,LW2BN4S-0001,1.0,us_110026277,False,,,,Run_Times_Bra,,2024-04-30 06:55:15.55,Sports Bras,sports bra::::yoga bra::::hot yoga bra::::running bra::::yoga bra top::::supportive bra::::light support bra::::technical bra::::athletic bra::::exercise bra,running,w_run,,All,Matching Sets^usmatchingsets::::What's New^cat2530003::::women^uswomen::::women^uswomen|Sports Bras^uswwearit1::::All Bras^cat1890001,B/E,2019-08-15 11:04:28.25,A/B::::C/D::::DD/G,,,,,2019-08-15 11:04:28.25,1719,Sports Bras,us_110026227,Energy Bra,,"Run Times Bra *High Support, B–G Cups",,,https://images.lululemon.com/is/image/lululemon/LW2AAKS_030894_Z,right,,,,False,Old,False,"We&#39;ve got a full range of sports bras for all athletic activities,including yoga and running. Complimentary shipping to Canada and the US.",0.0,False,False,0,,women-sports-bras,/p/women-sports-bras/Run-Times-Bra/_/prod9520104,False,False,//shop.lululemon.com/p/women-sports-bras/Run-Times-Bra/_/prod9520104,,False,High Support,"Run Times Bra *High Support, B–G Cups | Women's Bras",Run-Times-Bra,,,True,prod9520104,False,,Women,All Bras::::women::::Sports Bras::::Matching Sets::::What's New,,,,False,,,,,,,,,,USD,en_US
False,women,True,False,Black,1,black|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutral|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,noir|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutre|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,,,noInseam,False,False,14,68.0,,34 DD,https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_1::::https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_2,4.0,LW2BN4S-0001,1.0,us_110026274,False,,,,Run_Times_Bra,,2024-04-30 06:55:15.55,Sports Bras,sports bra::::yoga bra::::hot yoga bra::::running bra::::yoga bra top::::supportive bra::::light support bra::::technical bra::::athletic bra::::exercise bra,running,w_run,,All,Matching Sets^usmatchingsets::::What's New^cat2530003::::women^uswomen::::women^uswomen|Sports Bras^uswwearit1::::All Bras^cat1890001,B/E,2019-08-15 11:04:28.25,A/B::::C/D::::DD/G,,,,,2019-08-15 11:04:28.25,1719,Sports Bras,us_110026227,Energy Bra,,"Run Times Bra *High Support, B–G Cups",,,https://images.lululemon.com/is/image/lululemon/LW2AAKS_030894_Z,right,,,,False,Old,False,"We&#39;ve got a full range of sports bras for all athletic activities,including yoga and running. Complimentary shipping to Canada and the US.",0.0,False,False,0,,women-sports-bras,/p/women-sports-bras/Run-Times-Bra/_/prod9520104,False,False,//shop.lululemon.com/p/women-sports-bras/Run-Times-Bra/_/prod9520104,,False,High Support,"Run Times Bra *High Support, B–G Cups | Women's Bras",Run-Times-Bra,,,True,prod9520104,False,,Women,All Bras::::women::::Sports Bras::::Matching Sets::::What's New,,,,False,,,,,,,,,,USD,en_US
False,women,True,False,Black,1,black|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutral|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,noir|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutre|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,,,noInseam,False,False,15,68.0,,36 DD,https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_1::::https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_2,4.0,LW2BN4S-0001,1.0,us_110026275,False,,,,Run_Times_Bra,,2024-04-30 06:55:15.55,Sports Bras,sports bra::::yoga bra::::hot yoga bra::::running bra::::yoga bra top::::supportive bra::::light support bra::::technical bra::::athletic bra::::exercise bra,running,w_run,,All,Matching Sets^usmatchingsets::::What's New^cat2530003::::women^uswomen::::women^uswomen|Sports Bras^uswwearit1::::All Bras^cat1890001,B/E,2019-08-15 11:04:28.25,A/B::::C/D::::DD/G,,,,,2019-08-15 11:04:28.25,1719,Sports Bras,us_110026227,Energy Bra,,"Run Times Bra *High Support, B–G Cups",,,https://images.lululemon.com/is/image/lululemon/LW2AAKS_030894_Z,right,,,,False,Old,False,"We&#39;ve got a full range of sports bras for all athletic activities,including yoga and running. Complimentary shipping to Canada and the US.",0.0,False,False,0,,women-sports-bras,/p/women-sports-bras/Run-Times-Bra/_/prod9520104,False,False,//shop.lululemon.com/p/women-sports-bras/Run-Times-Bra/_/prod9520104,,False,High Support,"Run Times Bra *High Support, B–G Cups | Women's Bras",Run-Times-Bra,,,True,prod9520104,False,,Women,All Bras::::women::::Sports Bras::::Matching Sets::::What's New,,,,False,,,,,,,,,,USD,en_US
False,women,True,False,Black,1,black|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutral|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,noir|https://images.lululemon.com/is/image/lululemon/black_swatch?$swatch$::::neutre|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,,,noInseam,False,False,13,68.0,,32 DD,https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_1::::https://images.lululemon.com/is/image/lululemon/LW2BN4S_0001_2,4.0,LW2BN4S-0001,1.0,us_110026273,False,,,,Run_Times_Bra,,2024-04-30 06:55:15.55,Sports Bras,sports bra::::yoga bra::::hot yoga bra::::running bra::::yoga bra top::::supportive bra::::light support bra::::technical bra::::athletic bra::::exercise bra,running,w_run,,All,Matching Sets^usmatchingsets::::What's New^cat2530003::::women^uswomen::::women^uswomen|Sports Bras^uswwearit1::::All Bras^cat1890001,B/E,2019-08-15 11:04:28.25,A/B::::C/D::::DD/G,,,,,2019-08-15 11:04:28.25,1719,Sports Bras,us_110026227,Energy Bra,,"Run Times Bra *High Support, B–G Cups",,,https://images.lululemon.com/is/image/lululemon/LW2AAKS_030894_Z,right,,,,False,Old,False,"We&#39;ve got a full range of sports bras for all athletic activities,including yoga and running. Complimentary shipping to Canada and the US.",0.0,False,False,0,,women-sports-bras,/p/women-sports-bras/Run-Times-Bra/_/prod9520104,False,False,//shop.lululemon.com/p/women-sports-bras/Run-Times-Bra/_/prod9520104,,False,High Support,"Run Times Bra *High Support, B–G Cups | Women's Bras",Run-Times-Bra,,,True,prod9520104,False,,Women,All Bras::::women::::Sports Bras::::Matching Sets::::What's New,,,,False,,,,,,,,,,USD,en_US
False,men,True,False,Nomad,35955,brown|https://images.lululemon.com/is/image/lululemon/brown_swatch?$swatch$::::neutral|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,Brun|https://images.lululemon.com/is/image/lululemon/brown_swatch?$swatch$::::neutre|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,,,noInseam,False,False,36,128.0,,30,https://images.lululemon.com/is/image/lululemon/LM5B08S_035955_1::::https://images.lululemon.com/is/image/lululemon/LM5B08S_035955_2,5.0,LM5B08S-035955,4.0,us_151505869,False,,,,ABC_Classic_Fit_Trouser_32L_Twill,ABC,2024-03-04 15:49:11.341,Trousers,,On the Move::::travel::::golf::::work::::casual,m_tofrom::::m_travel::::m_golf::::m_work::::m_casual,,All,men^usmen|Pants^usmwearit3|Trousers^usmtrousers::::Bestsellers^cat2530002,,2024-01-11 01:32:05.625,,,,Chinos::::Dress Pants,Spring::::Fall::::Winter,2024-01-11 01:32:05.625,110,Trousers,us_151505710,,,"ABC Classic-Fit Trouser 32""L *Smooth Twill",,,,right,Smooth Twill::::Twill,Classic Fit,ABC Technology::::Pocketed::::Reflective,False,Old,False,,0.0,False,False,0,,mens-trousers,/p/mens-trousers/ABC-Classic-Fit-Trouser-32L-Twill/_/prod11680054,False,False,//shop.lululemon.com/p/mens-trousers/ABC-Classic-Fit-Trouser-32L-Twill/_/prod11680054,,False,,"ABC Classic-Fit Trouser 32""L *Smooth Twill | Men's Trousers",ABC-Classic-Fit-Trouser-32L-Twill,,,False,prod11680054,False,"32""",Men,men::::Trousers::::Pants::::Bestsellers,,,,False,4000147.0,,,,,,,,,USD,en_US
False,women,True,False,Dark Olive,26083,olive|https://images.lululemon.com/is/image/lululemon/26083?$swatch$,vert olive|https://images.lululemon.com/is/image/lululemon/26083?$swatch$,,,noInseam,False,False,3,68.0,49.0,14,https://images.lululemon.com/is/image/lululemon/LW2D03S_026083_1::::https://images.lululemon.com/is/image/lululemon/LW2D03S_026083_2,5.0,LW2D03S-026083,1.0,us_144528181,False,,,,Like_a_Cloud_LL_Ribbed_BC,Like a Cloud,2024-04-17 16:22:11.738,Sports Bras,,dance::::golf::::On the Move::::yoga,w_dance::::w_golf::::w_tofrom::::w_yoga,,All,We Made Too Much^ussale::::women^uswomen::::women^uswomen|Sports Bras^uswwearit1::::All Bras^cat1890001,B/C,2021-12-28 21:59:24.285,A/B::::C/D,,,Longline Bras::::Racerback Bras::::Strappy Bras,,2021-12-28 21:59:24.285,841,Sports Bras,us_144528179,,,"Like a Cloud Ribbed Longline Bra *Light Support, B/C Cup",,,,right,Ribbed,,Lightweight,False,Old,False,,0.0,False,False,1,,women-sports-bras,/p/women-sports-bras/Like_a_Cloud_LL_Ribbed-MD/_/prod10890029,False,False,//shop.lululemon.com/p/women-sports-bras/Like_a_Cloud_LL_Ribbed-MD/_/prod10890029,,False,Light Support,"Like a Cloud Ribbed Longline Bra *Light Support, B/C Cup | Women's Bras",Like_a_Cloud_LL_Ribbed-MD,,,False,prod10890029,False,,Women,All Bras::::women::::Sports Bras::::We Made Too Much,,,,False,,Extra Large,,,,,,,,USD,en_US
False,women,True,False,Lilac Ether,64244,purple|https://images.lululemon.com/is/image/lululemon/purple_swatch?$swatch$::::pastel|https://images.lululemon.com/is/image/lululemon/52291,violet|https://images.lululemon.com/is/image/lululemon/purple_swatch?$swatch$::::null|https://images.lululemon.com/is/image/lululemon/52291,,,noInseam,False,False,26,148.0,,10,https://images.lululemon.com/is/image/lululemon/LW5FAGS_064244_1::::https://images.lululemon.com/is/image/lululemon/LW5FAGS_064244_2,7.0,LW5FAGS-064244,4.0,us_151504533,False,,,,Ribbed_Softstreme_High_Rise_Pant,,2024-04-30 06:54:19.492,Pants,,On the Move::::travel::::casual,w_tofrom::::w_travel::::w_casual,,All,Loungewear^cat1460084::::Matching Sets^usmatchingsets::::What's New^cat2530003::::women^uswomen|Pants^uswwearit5|Sweatpants^uswsweatpants::::women^uswomen|Pants^uswwearit5,,2023-02-28 01:31:09.688,,,,,Spring::::Fall::::Winter::::Cold Weather,2023-02-28 01:31:09.688,427,Pants,us_146406979,,,"Ribbed Softstreme Mid-Rise Pant 32""",,,,right,Softstreme::::Ribbed,Flare,Drawstring,False,Old,False,,0.0,False,False,0,,women-pants,/p/women-pants/Ribbed-Softstreme-High-Rise-Pant/_/prod11440056,False,False,//shop.lululemon.com/p/women-pants/Ribbed-Softstreme-High-Rise-Pant/_/prod11440056,,False,,"Ribbed Softstreme Mid-Rise Pant 32"" | Women's Pants",Ribbed-Softstreme-High-Rise-Pant,,,True,prod11440056,False,"32""",Women,women::::Pants::::Loungewear::::Matching Sets::::Sweatpants::::What's New,,,,False,4000161.0,Large::::Tall,,Mid Rise,,,,,,USD,en_US
False,women,True,False,Dark Olive,26083,olive|https://images.lululemon.com/is/image/lululemon/26083?$swatch$,vert olive|https://images.lululemon.com/is/image/lululemon/26083?$swatch$,,,noInseam,False,False,2,68.0,49.0,12,https://images.lululemon.com/is/image/lululemon/LW2D03S_026083_1::::https://images.lululemon.com/is/image/lululemon/LW2D03S_026083_2,5.0,LW2D03S-026083,1.0,us_144528180,False,,,,Like_a_Cloud_LL_Ribbed_BC,Like a Cloud,2024-04-17 16:22:11.738,Sports Bras,,dance::::golf::::On the Move::::yoga,w_dance::::w_golf::::w_tofrom::::w_yoga,,All,We Made Too Much^ussale::::women^uswomen::::women^uswomen|Sports Bras^uswwearit1::::All Bras^cat1890001,B/C,2021-12-28 21:59:24.285,A/B::::C/D,,,Longline Bras::::Racerback Bras::::Strappy Bras,,2021-12-28 21:59:24.285,841,Sports Bras,us_144528179,,,"Like a Cloud Ribbed Longline Bra *Light Support, B/C Cup",,,,right,Ribbed,,Lightweight,False,Old,False,,0.0,False,False,1,,women-sports-bras,/p/women-sports-bras/Like_a_Cloud_LL_Ribbed-MD/_/prod10890029,False,False,//shop.lululemon.com/p/women-sports-bras/Like_a_Cloud_LL_Ribbed-MD/_/prod10890029,,False,Light Support,"Like a Cloud Ribbed Longline Bra *Light Support, B/C Cup | Women's Bras",Like_a_Cloud_LL_Ribbed-MD,,,False,prod10890029,False,,Women,All Bras::::women::::Sports Bras::::We Made Too Much,,,,False,,Large,,,,,,,,USD,en_US
False,men,True,False,Nomad,35955,brown|https://images.lululemon.com/is/image/lululemon/brown_swatch?$swatch$::::neutral|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,Brun|https://images.lululemon.com/is/image/lululemon/brown_swatch?$swatch$::::neutre|https://images.lululemon.com/is/image/lululemon/na_apr22_wk2_W_Neutrals_Neutral_CircleSwatch,,,noInseam,False,False,35,128.0,,29,https://images.lululemon.com/is/image/lululemon/LM5B08S_035955_1::::https://images.lululemon.com/is/image/lululemon/LM5B08S_035955_2,5.0,LM5B08S-035955,4.0,us_151505866,False,,,,ABC_Classic_Fit_Trouser_32L_Twill,ABC,2024-03-04 15:49:11.341,Trousers,,On the Move::::travel::::golf::::work::::casual,m_tofrom::::m_travel::::m_golf::::m_work::::m_casual,,All,men^usmen|Pants^usmwearit3|Trousers^usmtrousers::::Bestsellers^cat2530002,,2024-01-11 01:32:05.625,,,,Chinos::::Dress Pants,Spring::::Fall::::Winter,2024-01-11 01:32:05.625,110,Trousers,us_151505710,,,"ABC Classic-Fit Trouser 32""L *Smooth Twill",,,,right,Smooth Twill::::Twill,Classic Fit,ABC Technology::::Pocketed::::Reflective,False,Old,False,,0.0,False,False,0,,mens-trousers,/p/mens-trousers/ABC-Classic-Fit-Trouser-32L-Twill/_/prod11680054,False,False,//shop.lululemon.com/p/mens-trousers/ABC-Classic-Fit-Trouser-32L-Twill/_/prod11680054,,False,,"ABC Classic-Fit Trouser 32""L *Smooth Twill | Men's Trousers",ABC-Classic-Fit-Trouser-32L-Twill,,,False,prod11680054,False,"32""",Men,men::::Trousers::::Pants::::Bestsellers,,,,False,4000147.0,,,,,,,,,USD,en_US
