Matched Shingle,Entities,Shingle Type,Entity Type,Search Query,Visits,Revenue,Overlap,Entity Overlaps,Entity Type Overlaps
align,align,full,full,"align 4""",1558,"$13,599.70",no,1,1
"4""","4""",full,full,"align 4""",1558,"$13,599.70",no,1,1
light,Heathered Core Ultra Light Grey|Nevis Stripe Grey Sage Light Sage|Light Vapor|Heathered Ultra Light Grey|Heathered Core Light Grey|Kayak Blue Light|Flash Light|Light Quicksand|Heather Allover Sea Salt Light Cast,partial,partial,light house,1742024,"$12,485,038.56",yes,9,1
belt,Belt Bags,partial,partial,belt bag,1742024,"$12,485,038.56",no,1,1
bag,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,belt bag,1742024,"$12,485,038.56",yes,5,2
scuba,scuba,full,full,scuba,1905345,"$10,433,488.09",no,1,1
shorts,Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,partial|full,shorts,572888,"$2,093,359.94",yes,7,2
define,define,full,full,define jacket,462670,"$3,566,816.44",no,1,1
jacket,Athletic Jackets|Rain Jackets|Puffer Jackets|Bomber Jackets,partial,partial|full,define jacket,462670,"$3,566,816.44",yes,5,2
align,align,full,full,align,417267,"$4,948,056.73",no,1,1
leggings,leggings,full,full,leggings,351252,"$2,511,427.32",no,1,1
swiftly,swiftly,full,full,swiftly,296633,"$1,591,910.14",no,1,1
backpack,backpack,full,full,backpack,240073,"$1,760,761.90",no,1,1
bag,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,bag,237409,"$1,544,662.36",yes,5,2
skirt,Athletic Skirts,partial,full|partial,skirt,191756,"$950,809.75",yes,2,2
everywhere,everywhere,full,full,everywhere belt bag,207788,"$1,438,011.22",no,1,1
belt,Belt Bags,partial,partial,everywhere belt bag,207788,"$1,438,011.22",no,1,1
bag,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,everywhere belt bag,207788,"$1,438,011.22",yes,5,2
align,align,full,full,align tank,225922,"$1,190,313.39",no,1,1
tank,Tank Tops,partial,partial,align tank,225922,"$1,190,313.39",no,1,1
align,align,full,full,align leggings,174881,"$2,091,488.85",no,1,1
leggings,leggings,full,full,align leggings,174881,"$2,091,488.85",no,1,1
swiftly,swiftly,full,full,swiftly tech,176779,"$1,156,425.87",no,1,1
tech,Metal Vent Tech,partial,partial,swiftly tech,176779,"$1,156,425.87",no,1,1
we,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
we made,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
we made too,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
we made too much,we made too much,full,full,we made too much,119687,"$592,076.05",no,1,1
made,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
made too,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
made too much,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
too,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
too much,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
much,We Made Too Much,partial,partial,we made too much,119687,"$592,076.05",no,1,1
hotty,Hotty Hot,partial,partial,hotty hot,155874,"$910,585.98",no,1,1
hotty hot,hotty hot,full,full,hotty hot,155874,"$910,585.98",no,1,1
hot,Hot Heat|Hotty Hot,partial,partial,hotty hot,155874,"$910,585.98",yes,2,1
define,define,full,full,define,168830,"$1,551,166.64",no,1,1
bags,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,bags,124248,"$828,463.01",yes,5,2
keychain,keychain,full,full,keychain,162765,"$481,656.36",no,1,1
bra,Sports Bras|Racerback Bras,partial,partial,bra,97857,"$532,293.96",yes,2,1
speed,Speed Up|Swift Speed,partial,partial,speed up,97005,"$464,907.25",yes,2,1
speed up,speed up,full,full,speed up,97005,"$464,907.25",no,1,1
up,Speed Up|Zip Up Sweatshirts,partial,partial,speed up,97005,"$464,907.25",yes,2,1
align,align,full,full,align shorts,84762,"$481,719.46",no,1,1
shorts,Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,partial|full,align shorts,84762,"$481,719.46",yes,7,2
jacket,Athletic Jackets|Rain Jackets|Puffer Jackets|Bomber Jackets,partial,partial|full,jacket,105918,"$904,445.74",yes,5,2
hotty,Hotty Hot,partial,partial,hotty hots,84926,"$156,386.10",no,1,1
tank,Tank Tops,partial,partial,tank top,92157,"$297,975.90",no,1,1
top,Tank Tops|Swimsuit Tops,partial,partial,tank top,92157,"$297,975.90",yes,2,1
tank,Tank Tops,partial,partial,tank tops,79056,"$281,269.70",no,1,1
tank tops,tank tops,full,full,tank tops,79056,"$281,269.70",no,1,1
tops,Tank Tops|Swimsuit Tops,partial,partial,tank tops,79056,"$281,269.70",yes,2,1
dress,Dress Pants|Bodycon Dresses|Shirt Dresses,partial,partial|full,dress,71390,"$437,676.89",yes,4,2
shirts,Short Sleeve Shirts|Long Sleeve Shirts|Button Down Shirts|Polo Shirts,partial,partial|full,shirts,89858,"$244,266.38",yes,5,2
wallet,Wallets and Pouches,partial,partial,wallet,107961,"$509,294.75",no,1,1
backpacks,backpacks,full,full,backpacks,76478,"$695,347.15",no,1,1
tank,Tank Tops,partial,partial,tank,81046,"$404,637.91",no,1,1
water,Water Bottles|Water Drop,partial,partial,water bottle,101085,"$381,745.55",yes,2,1
joggers,joggers,full,full,joggers,86410,"$878,731.03",no,1,1
skirts,Athletic Skirts,partial,full|partial,skirts,62987,"$281,608.62",yes,2,2
shirt,Shirt Dresses|Short Sleeve Shirts|Long Sleeve Shirts|Button Down Shirts|Polo Shirts,partial,partial|full,shirt,79573,"$202,436.45",yes,6,2
hotty,Hotty Hot,partial,partial,hotty hotty shorts,75751,"$551,988.95",no,1,1
hotty,Hotty Hot,partial,partial,hotty hotty shorts,75751,"$551,988.95",no,1,1
shorts,Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,partial|full,hotty hotty shorts,75751,"$551,988.95",yes,7,2
dance,Dance Studio,partial,partial|full,dance studio,99429,"$1,220,866.85",yes,2,2
dance studio,dance studio,full,full,dance studio,99429,"$1,220,866.85",no,1,1
studio,Dance Studio,partial,partial,dance studio,99429,"$1,220,866.85",no,1,1
pants,5 Pocket Pants|Cargo Pants|Dress Pants,partial,partial|full,pants,72508,"$453,982.67",yes,4,2
sonic,Sonic Pink|Sonic Yellow,partial,partial,sonic pink,61445,"$321,732.17",yes,2,1
sonic pink,sonic pink,full,full,sonic pink,61445,"$321,732.17",no,1,1
