gender,parentCategory_displayName,sku_size,product_topsLength_s,collections,sku_colorCodeDesc,sku_colorGroup,sku_colorGroup_fr,product_inseam,product_activity,product_customAttribute4
men,trousers,28,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
women,sports bras,38 dd,,,black,black,noir,,running,
women,sports bras,34 dd,,,black,black,noir,,running,
women,sports bras,36 dd,,,black,black,noir,,running,
women,sports bras,32 dd,,,black,black,noir,,running,
men,trousers,30,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
women,sports bras,14,,like a cloud,dark olive,olive,vert olive,,dance/golf/on the move/yoga,longline bras/racerback bras/strappy bras
women,pants,10,,,lilac ether,purple,violet,"32""",on the move/travel/casual,
women,sports bras,12,,like a cloud,dark olive,olive,vert olive,,dance/golf/on the move/yoga,longline bras/racerback bras/strappy bras
men,trousers,29,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
women,sports bras,10,,like a cloud,dark olive,olive,vert olive,,dance/golf/on the move/yoga,longline bras/racerback bras/strappy bras
women,sports bras,8,,,larkspur,blue,bleu,,running/training/workout,longline bras/racerback bras
women,sports bras,36 e,,,black,black,noir,,running,
women,sports bras,32 e,,,black,black,noir,,running,
women,sports bras,34 e,,,black,black,noir,,running,
women,pants,0,,,lilac ether,purple,violet,"32""",on the move/travel/casual,
women,sports bras,14,,free to be,vitapink,pink,rose,,tennis/golf/dance/yoga,strappy bras/bralettes
women,sports bras,8,,like a cloud,dark olive,olive,vert olive,,dance/golf/on the move/yoga,longline bras/racerback bras/strappy bras
women,sports bras,6,,like a cloud,dark olive,olive,vert olive,,dance/golf/on the move/yoga,longline bras/racerback bras/strappy bras
women,sports bras,4,,like a cloud,dark olive,olive,vert olive,,dance/golf/on the move/yoga,longline bras/racerback bras/strappy bras
women,sports bras,2,,like a cloud,dark olive,olive,vert olive,,dance/golf/on the move/yoga,longline bras/racerback bras/strappy bras
women,sweatpants,xl,,,heathered deep navy,navy,bleu marine,,on the move/casual,
women,sweatpants,14,,,brier rose,pink,rose,"24""",casual/travel,
men,trousers,33,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
women,pants,14,,,lilac ether,purple,violet,"32""",on the move/travel/casual,
women,sports bras,40 c,,,black,black,noir,,running,
men,trousers,35,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
women,sports bras,38 c,,,black,black,noir,,running,
men,trousers,34,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
men,trousers,36,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
men,trousers,34,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
women,sports bras,36 c,,,black,black,noir,,running,
women,coats/jackets,0,short,,black,black,noir,,casual/on the move,bomber jackets
men,trousers,35,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
women,sports bras,6,,free to be,vitapink,pink,rose,,tennis/golf/dance/yoga,strappy bras/bralettes
men,trousers,36,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
men,trousers,40,,abc,black,black,noir,"28""",on the move/casual,5 pocket pants
women,sweatpants,10,,,brier rose,pink,rose,"24""",casual/travel,
men,polo shirts,xxl,,,iron blue,blue,bleu,,casual/golf/tennis/on the move/travel/work,
women,sports bras,32 d,,,black,black,noir,,running,
men,trousers,31,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
women,sports bras,40 d,,,black,black,noir,,running,
women,sports bras,2,,free to be,vitapink,pink,rose,,tennis/golf/dance/yoga,strappy bras/bralettes
men,trousers,29,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
women,sports bras,38 d,,,black,black,noir,,running,
women,pants,12,,,lilac ether,purple,violet,"32""",on the move/travel/casual,
men,trousers,32,,abc,nomad,brown,brun,"32""",on the move/travel/golf/work/casual,chinos/dress pants
men,polo shirts,xs,,,iron blue,blue,bleu,,casual/golf/tennis/on the move/travel/work,
women,sports bras,36 d,,,black,black,noir,,running,
men,trousers,28,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
women,sports bras,34 d,,,black,black,noir,,running,
men,trousers,32,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
women,sports bras,4,,free to be,vitapink,pink,rose,,tennis/golf/dance/yoga,strappy bras/bralettes
women,coats/jackets,10,short,,black,black,noir,,casual/on the move,bomber jackets
men,trousers,30,,abc,true navy,blue,bleu,"30""",on the move/golf/work/casual,chinos/dress pants
