Left Term,Match Type,Entity,Original Line,Rewritten Line
go getter,,,go getter => duffle bag,"go getter => go getter, duffle bag"
chino,partial,product_customAttribute4,"chino => abc pant, abc pants, abc trouser, abc trousers, chino short, chino shorts, chinos short, chinos shorts","chino => chino, abc pant, abc pants, abc trouser, abc trousers, chino short, chino shorts, chinos short, chinos shorts"
chinos,full,product_customAttribute4,"chinos => abc pant, abc pants, abc trouser, abc trousers, chino short, chino shorts, chinos short, chinos shorts","chinos => chinos, abc pant, abc pants, abc trouser, abc trousers, chino short, chino shorts, chinos short, chinos shorts"
sweater,,,"sweater => cardigan, sweater, turtleneck, alpine air","sweater => sweater, cardigan, sweater, turtleneck, alpine air"
crops,,,crops => capris,"crops => crops, capris"
maternity,,,"maternity => new parent bag, align pant, align jogger, align short, all yours dress, LA funnel neck dress, v-neck midi dress, back in action dress, ease of it all dress, perfectly oversized crew","maternity => maternity, new parent bag, align pant, align jogger, align short, all yours dress, LA funnel neck dress, v-neck midi dress, back in action dress, ease of it all dress, perfectly oversized crew"
pregnant,,,"pregnant => new parent bag, align pant, align jogger, align short, all yours dress, LA funnel neck dress, v-neck midi dress, back in action dress, ease of it all dress, perfectly oversized crew","pregnant => pregnant, new parent bag, align pant, align jogger, align short, all yours dress, LA funnel neck dress, v-neck midi dress, back in action dress, ease of it all dress, perfectly oversized crew"
pregnancy,,,"pregnancy => align pant, align jogger, align short, all yours dress, LA funnel neck dress, v-neck midi dress, back in action dress, ease of it all dress, perfectly oversized crew","pregnancy => pregnancy, align pant, align jogger, align short, all yours dress, LA funnel neck dress, v-neck midi dress, back in action dress, ease of it all dress, perfectly oversized crew"
speed up collection,,,speed up collection => speed up,"speed up collection => speed up collection, speed up"
on my level,,,on my level => tote bag,"on my level => on my level, tote bag"
align shop,,,align shop => align,"align shop => align shop, align"
align collection,,,align collection => align,"align collection => align collection, align"
abc shop,,,abc shop => abc,"abc shop => abc shop, abc"
bodywear,,,bodywear => wundermost,"bodywear => bodywear, wundermost"
metal vent tech shop,,,metal vent tech shop => metal vent tech,"metal vent tech shop => metal vent tech shop, metal vent tech"
city sweat shop,,,city sweat shop => city sweat,"city sweat shop => city sweat shop, city sweat"
wunder under shop,,,wunder under shop => wunder under,"wunder under shop => wunder under shop, wunder under"
