Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
swiftly tech shirts,N,collections(swiftly_tech)/parentCategory_displayName(shirts),,62483,"$381,891.50"
we made to much,N,parentCategory_displayName(made_much_we)/collections(to),,37765,"$86,045.40"
align dress,Y,collections(align)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),56863,"$439,280.73"
lululemon align leggings,N,collections(align_lululemon)/parentCategory_displayName(leggings_lululemon)/sku_colorCodeDesc(lululemon),,82952,"$1,796,477.65"
swiftly shirt,Y,collections(swiftly)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),53547,"$469,522.85"
fast and free,N,collections(fast_free)/product_customAttribute4(and),,46169,"$442,761.09"
swiftly tech short sleeve,N,collections(swiftly_tech)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),32160,"$297,065.15"
tennis dress,Y,product_activity(tennis)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),22097,"$167,545.85"
align 25,Y,collections(align)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),27112,"$360,163.25"
scuba full zip,N,collections(scuba)/sku_size(full)/product_customAttribute4(zip),,25427,"$343,187.35"
wunder train 25,Y,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_size(25)/product_inseam(25),PorterStemFilter(train)/PatternReplaceFilter(25),20092,"$197,055.69"
swiftly tech long sleeve,N,collections(swiftly_tech)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,23570,"$292,170.21"
tote bag,Y,product_customAttribute4(bag_tote)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag_tote),22918,"$252,296.60"
crop top,Y,product_topsLength_s(crop)/parentCategory_displayName(top)/product_customAttribute4(top),PorterStemFilter(crop)/EnglishMinimalStemFilter(top),17874,"$81,670.40"
train to be,Y,collections(be_to_train)/product_activity(train)/product_customAttribute4(train),PorterStemFilter(train),13820,"$113,110.56"
train to be tank,N,collections(be_to_train)/product_activity(train)/product_customAttribute4(train)/parentCategory_displayName(tank),PorterStemFilter(train),11821,"$103,777.93"
love crew,N,collections(love)/sku_colorCodeDesc(love)/product_customAttribute4(crew),,16702,"$157,520.41"
free to be wild,N,collections(be_free_to)/sku_colorCodeDesc(wild),,15742,"$93,666.05"
long sleeve shirt,Y,product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),12667,"$129,055.38"
all night,N,collections(all)/sku_colorCodeDesc(night),,11221,"$78,840.45"
fast and free shorts,N,collections(fast_free)/product_customAttribute4(and_shorts)/parentCategory_displayName(shorts),,9678,"$42,893.60"
hotty hot short,Y,collections(hot_hotty)/sku_colorCodeDesc(hot_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),10065,"$67,991.90"
pace breaker short,Y,collections(breaker_pace)/sku_colorCodeDesc(pace_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),10231,"$148,167.15"
fast and free leggings,N,collections(fast_free)/product_customAttribute4(and)/parentCategory_displayName(leggings),,12065,"$228,080.85"
fast and free tights,N,collections(fast_free)/product_customAttribute4(and)/parentCategory_displayName(tights),,8294,"$107,776.85"
commission short,Y,collections(commission)/sku_colorCodeDesc(commission_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),8281,"$150,663.23"
black camo leggings,N,sku_colorGroup(black)/sku_colorCodeDesc(black_camo)/parentCategory_displayName(leggings),,8026,"$97,620.80"
commission pant classic,N,collections(commission)/sku_colorCodeDesc(classic_commission)/product_customAttribute4(pant)/parentCategory_displayName(pant),EnglishMinimalStemFilter(pant),7000,"$132,177.83"
swiftly tech racerback,N,collections(racerback_swiftly_tech)/product_customAttribute4(racerback),,8381,"$96,080.00"
align bike short,N,collections(align)/product_activity(bike)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),7168,"$6,801.65"
swiftly tech tank,N,collections(swiftly_tech)/parentCategory_displayName(tank),,8188,"$52,480.15"
short shorts,Y,product_topsLength_s(short)/parentCategory_displayName(short_shorts)/sku_colorCodeDesc(short)/product_customAttribute4(short_shorts),EnglishMinimalStemFilter(short),7522,"$54,989.70"
align 28,Y,collections(align)/sku_size(28)/product_inseam(28),PatternReplaceFilter(28),9428,"$161,514.57"
speed up short,Y,collections(speed_up)/product_customAttribute4(short_up)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(short),6511,"$51,372.70"
perfectly oversized cropped crew,N,collections(oversized_perfectly)/product_topsLength_s(cropped)/product_customAttribute4(crew),,8010,"$106,298.45"
sweat pants,N,product_customAttribute4(pants_sweat)/collections(sweat)/parentCategory_displayName(pants),,7285,"$47,455.45"
abc pant classic,N,collections(abc)/product_customAttribute4(pant)/parentCategory_displayName(pant)/sku_colorCodeDesc(classic),EnglishMinimalStemFilter(pant),7477,"$248,616.95"
perfectly oversized crew,N,collections(oversized_perfectly)/product_customAttribute4(crew),,7248,"$86,582.60"
belt bag mini,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/product_topsLength_s(mini)/sku_colorCodeDesc(mini),EnglishMinimalStemFilter(bag),7922,"$61,224.65"
