Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
swiftly tech shirts,N,collections/parentCategory_displayName,,67092,"$412,133.45",swiftly tech shirt/swiftly tech top
we made to much,N,collections/parentCategory_displayName,,37765,"$86,045.40",
align dress,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,56863,"$439,280.73",
lululemon align leggings,N,sku_colorCodeDesc/collections/parentCategory_displayName,,82952,"$1,796,477.65",
swiftly shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,53547,"$469,522.85",
fast and free,N,collections/product_customAttribute4,,46169,"$442,761.09",
swiftly tech short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,32238,"$298,265.35",swiftly tech short sleev
tennis dress,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter/PorterStemFilter,22097,"$167,545.85",
align 25,Y,collections/sku_size/product_inseam,PatternReplaceFilter,27327,"$361,296.55","align 24/align 24"""
scuba full zip,N,collections/sku_size/product_customAttribute4,,25427,"$343,187.35",
wunder train 25,Y,product_inseam/product_customAttribute4/product_activity/collections/sku_size,PorterStemFilter/PatternReplaceFilter,20092,"$197,055.69",
swiftly tech long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,23664,"$293,515.71",swiftly tech long sleev
tote bag,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,22918,"$252,296.60",
crop top,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,17874,"$81,670.40",
train to be,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,13820,"$113,110.56",
train to be tank,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,11834,"$103,933.93",train to be tank tops
love crew,N,sku_colorCodeDesc/collections/product_customAttribute4,,21680,"$197,975.66",love crewneck
free to be wild,N,sku_colorCodeDesc/collections,,15742,"$93,666.05",
long sleeve shirt,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12690,"$129,160.68",long sleev shirt
all night,N,sku_colorCodeDesc/collections,,11221,"$78,840.45",
fast and free shorts,N,collections/product_customAttribute4/parentCategory_displayName,,15563,"$73,583.40",fast and free short
hotty hot short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,10065,"$67,991.90",
pace breaker short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,10231,"$148,167.15",
fast and free leggings,N,collections/product_customAttribute4/parentCategory_displayName,,20359,"$335,857.70",fast and free tights
commission short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,8281,"$150,663.23",
black camo leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,8026,"$97,620.80",
commission pant classic,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,7000,"$132,177.83",
swiftly tech racerback,N,collections/product_customAttribute4,,8381,"$96,080.00",
align bike short,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,7976,"$11,322.65",align bike shorts
swiftly tech tank,N,collections/parentCategory_displayName,,8311,"$53,080.15",swiftly tech tank tops
short shorts,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,7522,"$54,989.70",
align 28,Y,collections/sku_size/product_inseam,PatternReplaceFilter,9428,"$161,514.57",
speed up short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,6511,"$51,372.70",
perfectly oversized cropped crew,N,product_topsLength_s/collections/product_customAttribute4,,8263,"$109,582.60",perfectly oversized crop crew
sweat pants,N,collections/product_customAttribute4/parentCategory_displayName,,7285,"$47,455.45",
abc pant classic,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,14599,"$383,765.33",commission pant classic/abc pants classic/commission pants classic
perfectly oversized crew,N,collections/product_customAttribute4,,7248,"$86,582.60",
belt bag mini,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,7922,"$61,224.65",
lululemon align top,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,6208,"$23,971.60",
mini belt bag,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,13215,"$129,710.70",mini belt bags
at ease short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,6116,"$57,761.48",
full zip scuba,N,collections/sku_size/product_customAttribute4,,7728,"$105,103.90",
hotty hot 25,N,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,10123,"$140,341.90",
leggings black camo,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,3957,"$21,871.85",
